guardrail_key	value	status
selected_scope	shell16_candidate_universe_dry_run	preflight_contract_ready
shell16_full_scan_executed	0	guard_active
shell16_theorem_promotion_allowed	0	guard_active
shell16_survivor_zero_claim_allowed	0	guard_active
required_docs_count_unchanged	39	verified_contract
required_artifacts_count_unchanged	8	verified_contract
support8_lock_gate_changed	0	verified_contract
family_chain_status_required	7_of_7_fresh	verified_contract
shell16_preflight_contract_ready	1	preflight_contract_ready
shell16_attempt_protocol_ready	1	attempt_protocol_ready
shell16_preflight_guardrail_status	attempt_completed_no_promotion_guard_active	final_status
next_exact_target	family_chain_lift_map_refinement	next_action
