metric	value
selected_statement	operation_status_preservation_congruence_for_ready_operations
language_status	status_preservation_language_contract_ready
operation_table_status	operation_status_table_all_primary_operations_proof_ready_residual_congruence_open
obligation_count	13
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	2
blocked_sublemma_count	0
proof_ready_open_sublemma_count	4
skeleton_status	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open
support_reduction_skeleton_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
support_bound_skeleton_status	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
higher_support_after_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
next_blocker	project_to_active_status_locality_refinement
