metric	value
selected_statement	support_growth_partition
skeleton_status	partition_ready_phase2_relation_ready_smaller_witness_operation_open
operation_count	8
family_chain_lift_status	partial_lift_phase2_relation_ready_status_open
phase2_status	partial_phase2_proved_escape_open
obstruction_preservation_status	partial_preservation_phase2_relation_ready_status_open
proved_sublemma_count	4
proof_sketch_count	5
blocked_count	1
next_blocker	family_chain_lift_phase3_if_needed
fingerprint	8:phase2_relation:4:5:1:partition_ready_phase2_relation_ready_smaller_witness_operation_open
