metric	value
round	family_chain_absorption_status_preservation
support_reduction_step_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
support_bound_lemma_status_after_lift	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
operation_specific_smaller_witness_status	partial_all_primary_operations_status_proof_ready_residual_congruence_open
status_congruence_status	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open
higher_support_necessity_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
general_theorem_readiness	ready_for_project_to_active_status_locality_refinement
next_action_first	project_to_active_status_locality_refinement
next_action_second	contract_equivalent_status_congruence_refinement
next_action_third	canonical_compression_status_congruence_refinement
fingerprint	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open|ready_for_project_to_active_status_locality_refinement
