metric	value
theorem_name	support8_checked_tail_absorption_or_shell16_escape_bridge
exact_statement	checked_tail_witness_captured_by_current_tail_pattern_and_obstruction_chain_else_extension_routes_to_shell16_or_absorption_step
assumption_count	5
verified_input_count	5
tail_measure_used	lexicographic_tail_extension_tuple
tail_normal_form_used	support_side_tail_bounds_shell_index_candidate_fingerprint_survivor_status_obstruction_chain_extension_distance_escape_class
proof_step_count	7
current_verified_step_count	3
proof_sketch_step_count	4
missing_step_count	4
checked_tail_absorption_status	proved_under_current_scope
extension_tail_absorption_status	blocked_by_absorption_step
shell16_escape_status	tail_escape_closed_for_limited_bridge_theorem
final_status	tail_escape_closed_for_limited_bridge_theorem
full_tail_monotonicity_proved	0
full_general_theorem_proved	0
next_blocker	family_chain_lift_map_refinement
