metric	value
item_key	triple_family_expansion_theorem_data_53
previous_provenance_label	imported_lower_layer
current_provenance_label	fresh_current_runtime_generated
authoritative_constructor_name	load_current_triple_family_expansion_theorem_data_53_runtime_artifact_
upstream_pair52_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/pair_expansion_aggregate_52_payload_90.tsv
upstream_pair52_label	fresh_current_runtime_generated
upstream_pair52_fallback_hit	0
pass1_builder_used	0
cache_loaded	1
cache_load_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/triple_family_expansion_theorem_data_53_payload_90.tsv
region_count	35
raw_candidates	2110
canonical_candidates	2110
deduplicated_candidates	282
local_exact_survivors	0
plus_one_survivors	0
theorem_preserving_survivors	0
current_fingerprint	11888:3562593626991170520
imported_comparison_fingerprint	53|regions=35|raw=2110|canonical=2110|deduplicated=282|local=0|plus=0|theorem=0
imported_equality_result	counts_and_consumer_visible_fingerprint_equal
fallback_reachable	1
fallback_hit	0
runtime_fingerprint	fresh|current_runtime_triple_family_expansion_theorem_data_53_cache|load_current_triple_family_expansion_theorem_data_53_runtime_artifact_|0|1|35|2110|2110|282|0|0|0|11888:3562593626991170520|53|regions=35|raw=2110|canonical=2110|deduplicated=282|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0||Current authoritative path loaded a validated runtime triple-family expansion theorem data 53 artifact; upstream pair52 stayed fresh with fallback_hit=0.
direct_consumer_summary	bounded family-chain theorem;family-chain self verification via unified bounded schema-universe theorem
downstream_caveat_impact	triple 53 caveat removed; next lower-layer target is quadruple_family_expansion_theorem_data_55
blocker	
caveat	Current authoritative path loaded a validated runtime triple-family expansion theorem data 53 artifact; upstream pair52 stayed fresh with fallback_hit=0.
